0.0.0, Water,Water,Water
 1.1.1,Arctic Cordillera, ARCTIC CORDILLERA, Ellesmere and Devon Islands Ice Caps
 1.1.2,Arctic Cordillera, ARCTIC CORDILLERA, Baffin and Torngat Mountains
 2.1.1,Tundra, NORTHERN ARCTIC, Sverdrup Islands Lowland
 2.1.2,Tundra, NORTHERN ARCTIC, Ellesmere Mountains and Eureka Hills
 2.1.3,Tundra, NORTHERN ARCTIC, Parry Islands Plateau
 2.1.4,Tundra, NORTHERN ARCTIC, Lancaster and Borden Peninsula Plateaus
 2.1.5,Tundra, NORTHERN ARCTIC, Foxe Uplands
 2.1.6,Tundra, NORTHERN ARCTIC, Baffin Uplands
 2.1.7,Tundra, NORTHERN ARCTIC, Gulf of Boothia and Foxe Basin Plains
 2.1.8,Tundra, NORTHERN ARCTIC, Victoria Island Lowlands
 2.1.9,Tundra, NORTHERN ARCTIC, Banks Island and Amundsen Gulf Lowlands
 2.2.1,Tundra, ALASKA TUNDRA, Arctic Coastal Plain
 2.2.2,Tundra, ALASKA TUNDRA, Arctic Foothills
 2.2.3,Tundra, ALASKA TUNDRA, Subarctic Coastal Plains
 2.2.4,Tundra, ALASKA TUNDRA, Seward Peninsula
 2.2.5,Tundra, ALASKA TUNDRA, Bristol Bay-Nushagak Lowlands
 2.2.6,Tundra, ALASKA TUNDRA, Aleution Islands
 2.3.1,Tundra, BROOKS RANGE TUNDRA, Brooks Range/Richardson Mountains
 2.4.1,Tundra, SOUTHERN ARCTIC, Amundsen Plains
 2.4.2,Tundra, SOUTHERN ARCTIC, Aberdeen Plains
 2.4.3,Tundra, SOUTHERN ARCTIC, Central Ungava Peninsula and Ottawa and Belcher Islands
 2.4.4,Tundra, SOUTHERN ARCTIC, Queen Maud Gulf and Chantrey Inlet Lowlands
 3.1.1,Taiga, ALASKA BOREAL INTERIOR, Interior Forested Lowlands and Uplands
 3.1.2,Taiga, ALASKA BOREAL INTERIOR, Interior Bottomlands
 3.1.3,Taiga, ALASKA BOREAL INTERIOR, Yukon Flats
 3.2.1,Taiga, TAIGA CORDILLERA, Ogilvie Mountains
 3.2.2,Taiga, TAIGA CORDILLERA, Mackenzie and Selwyn Mountains
 3.2.3,Taiga, TAIGA CORDILLERA, Peel River and Nahanni Plateaus
 3.3.1,Taiga, TAIGA PLAIN, Great Bear Plains
 3.3.2,Taiga, TAIGA PLAIN, Hay and Slave River Lowlands
 3.4.1,Taiga, TAIGA SHIELD, Kazan River and Selwyn Lake Uplands
 3.4.2,Taiga, TAIGA SHIELD, La Grande Hills and New Quebec Central Plateau
 3.4.3,Taiga, TAIGA SHIELD, Smallwood Uplands
 3.4.4,Taiga, TAIGA SHIELD, Ungava Bay Basin and George Plateau
 3.4.5,Taiga, TAIGA SHIELD, Coppermine River and Tazin Lake Uplands
 4.1.1,Hudson Plains, HUDSON PLAIN, Coastal Hudson Bay Lowland
 4.1.2,Hudson Plains, HUDSON PLAIN, Hudson Bay and James Bay Lowlands
 5.1.1,Northern Forests, SOFTWOOD SHIELD, Athabasca Plain and Churchill River Upland
 5.1.2,Northern Forests, SOFTWOOD SHIELD, Lake Nipigon and Lac Seul Upland
 5.1.3,Northern Forests, SOFTWOOD SHIELD, Central Laurentians and Mecatina Plateau
 5.1.4,Northern Forests, SOFTWOOD SHIELD, Newfoundland Island
 5.1.5,Northern Forests, SOFTWOOD SHIELD, Hayes River Upland and Big Trout Lake
 5.1.6,Northern Forests, SOFTWOOD SHIELD, Abitibi Plains and Riviere Rupert Plateau
 5.2.1,Northern Forests, MIXED WOOD SHIELD, Northern Lakes and Forests
 5.2.2,Northern Forests, MIXED WOOD SHIELD, Northern Minnesota Wetlands
 5.2.3,Northern Forests, MIXED WOOD SHIELD, Algonquin/Southern Laurentians
 5.3.1,Northern Forests, ATLANTIC HIGHLANDS, Northern Appalachian and Atlantic Maritime Highlands
 5.3.3,Northern Forests, ATLANTIC HIGHLANDS, North Central Appalachians
 5.4.1,Northern Forests, BOREAL PLAIN, Mid-Boreal Uplands and Peace-Wabaska Lowlands
 5.4.2,Northern Forests, BOREAL PLAIN, Clear Hills and Western Alberta Upland
 5.4.3,Northern Forests, BOREAL PLAIN, Mid-Boreal Lowland and Interlake Plain
 6.1.1,Northwestern Forested Mountains, BOREAL CORDILLERA, Interior Highlands and Klondike Plateau
 6.1.2,Northwestern Forested Mountains, BOREAL CORDILLERA, Alaska Range
 6.1.3,Northwestern Forested Mountains, BOREAL CORDILLERA, Copper Plateau
 6.1.4,Northwestern Forested Mountains, BOREAL CORDILLERA, Wrangell and St. Elias Mountains
 6.1.5,Northwestern Forested Mountains, BOREAL CORDILLERA, Watson Highlands
 6.1.6,Northwestern Forested Mountains, BOREAL CORDILLERA, Yukon-Stikine Highlands/Boreal Mountains and Plateaus
 6.2.1,Northwestern Forested Mountains, WESTERN CORDILLERA, Skeena-Omineca-Central Canadian Rocky Mountains
 6.2.10,Northwestern Forested Mountains, WESTERN CORDILLERA, Middle Rockies
 6.2.11,Northwestern Forested Mountains, WESTERN CORDILLERA, Klamath Mountains
 6.2.12,Northwestern Forested Mountains, WESTERN CORDILLERA, Sierra Nevada
 6.2.13,Northwestern Forested Mountains, WESTERN CORDILLERA, Wasatch and Uinta Mountains
 6.2.14,Northwestern Forested Mountains, WESTERN CORDILLERA, Southern Rockies
 6.2.15,Northwestern Forested Mountains, WESTERN CORDILLERA, Idaho Batholith
 6.2.2,Northwestern Forested Mountains, WESTERN CORDILLERA, Chilcotin Ranges and Fraser Plateau
 6.2.3,Northwestern Forested Mountains, WESTERN CORDILLERA, Columbia Mountains/Northern Rockies
 6.2.4,Northwestern Forested Mountains, WESTERN CORDILLERA, Canadian Rockies
 6.2.5,Northwestern Forested Mountains, WESTERN CORDILLERA, North Cascades
 6.2.6,Northwestern Forested Mountains, WESTERN CORDILLERA, Cypress Upland
 6.2.7,Northwestern Forested Mountains, WESTERN CORDILLERA, Cascades
 6.2.8,Northwestern Forested Mountains, WESTERN CORDILLERA, Eastern Cascades Slopes and Foothills
 6.2.9,Northwestern Forested Mountains, WESTERN CORDILLERA, Blue Mountains
 7.1.1,Marine West Coast Forests, MARINE WEST COAST FOREST, Ahklun and Kilbuck Mountains
 7.1.2,Marine West Coast Forests, MARINE WEST COAST FOREST, Alaska Peninsula Mountains
 7.1.3,Marine West Coast Forests, MARINE WEST COAST FOREST, Cook Inlet
 7.1.4,Marine West Coast Forests, MARINE WEST COAST FOREST, Pacific Coastal Mountains
 7.1.5,Marine West Coast Forests, MARINE WEST COAST FOREST, Coastal Western Hemlock-Sitka Spruce Forests
 7.1.6,Marine West Coast Forests, MARINE WEST COAST FOREST, Pacific and Nass Ranges
 7.1.7,Marine West Coast Forests, MARINE WEST COAST FOREST, Strait of Georgia/Puget Lowland
 7.1.8,Marine West Coast Forests, MARINE WEST COAST FOREST, Coast Range
 7.1.9,Marine West Coast Forests, MARINE WEST COAST FOREST, Willamette Valley
 8.1.1,Eastern Temperate Forests, MIXED WOOD PLAINS, Eastern Great Lakes Lowlands
 8.1.10,Eastern Temperate Forests, MIXED WOOD PLAINS, Erie Drift Plain
 8.1.2,Eastern Temperate Forests, MIXED WOOD PLAINS, Lake Erie Lowland
 8.1.3,Eastern Temperate Forests, MIXED WOOD PLAINS, Northern Allegheny Plateau
 8.1.4,Eastern Temperate Forests, MIXED WOOD PLAINS, North Central Hardwood Forests
 8.1.5,Eastern Temperate Forests, MIXED WOOD PLAINS, Driftless Area
 8.1.6,Eastern Temperate Forests, MIXED WOOD PLAINS, Southern Michigan/Northern Indiana Drift Plains
 8.1.7,Eastern Temperate Forests, MIXED WOOD PLAINS, Northeastern Coastal Zone
 8.1.8,Eastern Temperate Forests, MIXED WOOD PLAINS, Acadian Plains and Hills
 8.1.9,Eastern Temperate Forests, MIXED WOOD PLAINS, Maritime Lowlands
 8.2.1,Eastern Temperate Forests, CENTRAL USA PLAINS, Southeastern Wisconsin Till Plains
 8.2.2,Eastern Temperate Forests, CENTRAL USA PLAINS, Huron/Erie Lake Plains
 8.2.3,Eastern Temperate Forests, CENTRAL USA PLAINS, Central Corn Belt Plains
 8.2.4,Eastern Temperate Forests, CENTRAL USA PLAINS, Eastern Corn Belt Plains
 8.3.1,Eastern Temperate Forests, SOUTHEASTERN USA PLAINS, Northern Piedmont
 8.3.2,Eastern Temperate Forests, SOUTHEASTERN USA PLAINS, Interior River Valleys and Hills
 8.3.3,Eastern Temperate Forests, SOUTHEASTERN USA PLAINS, Interior Plateau
 8.3.4,Eastern Temperate Forests, SOUTHEASTERN USA PLAINS, Piedmont
 8.3.5,Eastern Temperate Forests, SOUTHEASTERN USA PLAINS, Southeastern Plains
 8.3.6,Eastern Temperate Forests, SOUTHEASTERN USA PLAINS, Mississippi Valley Loess Plains
 8.3.7,Eastern Temperate Forests, SOUTHEASTERN USA PLAINS, South Central Plains
 8.3.8,Eastern Temperate Forests, SOUTHEASTERN USA PLAINS, East Central Texas Plains
 8.4.1,Eastern Temperate Forests, OZARK/OUACHITA-APPALACHIAN FORESTS, Ridge and Valley
 8.4.2,Eastern Temperate Forests, OZARK/OUACHITA-APPALACHIAN FORESTS, Central Appalachians
 8.4.3,Eastern Temperate Forests, OZARK/OUACHITA-APPALACHIAN FORESTS, Western Allegheny Plateau
 8.4.4,Eastern Temperate Forests, OZARK/OUACHITA-APPALACHIAN FORESTS, Blue Ridge
 8.4.5,Eastern Temperate Forests, OZARK/OUACHITA-APPALACHIAN FORESTS, Ozark Highlands
 8.4.6,Eastern Temperate Forests, OZARK/OUACHITA-APPALACHIAN FORESTS, Boston Mountains
 8.4.7,Eastern Temperate Forests, OZARK/OUACHITA-APPALACHIAN FORESTS, Arkansas Valley
 8.4.8,Eastern Temperate Forests, OZARK/OUACHITA-APPALACHIAN FORESTS, Ouachita Mountains
 8.4.9,Eastern Temperate Forests, OZARK/OUACHITA-APPALACHIAN FORESTS, Southwestern Appalachians
 8.5.1,Eastern Temperate Forests, MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS, Middle Atlantic Coastal Plain
 8.5.2,Eastern Temperate Forests, MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS, Mississippi Alluvial Plain
 8.5.3,Eastern Temperate Forests, MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS, Southern Coastal Plain
 8.5.4,Eastern Temperate Forests, MISSISSIPPI ALLUVIAL AND SOUTHEAST USA COASTAL PLAINS, Atlantic Coastal Pine Barrens
 9.2.1,Great Plains, TEMPERATE PRAIRIES, Aspen Parkland/Northern Glaciated Plains
 9.2.2,Great Plains, TEMPERATE PRAIRIES, Lake Manitoba and Lake Agassiz Plain
 9.2.3,Great Plains, TEMPERATE PRAIRIES, Western Corn Belt Plains
 9.2.4,Great Plains, TEMPERATE PRAIRIES, Central Irregular Plains
 9.3.1,Great Plains, WEST-CENTRAL SEMIARID PRAIRIES, Northwestern Glaciated Plains
 9.3.3,Great Plains, WEST-CENTRAL SEMIARID PRAIRIES, Northwestern Great Plains
 9.3.4,Great Plains, WEST-CENTRAL SEMIARID PRAIRIES, Nebraska Sand Hills
 9.4.1,Great Plains, SOUTH CENTRAL SEMIARID PRAIRIES, High Plains
 9.4.2,Great Plains, SOUTH CENTRAL SEMIARID PRAIRIES, Central Great Plains
 9.4.3,Great Plains, SOUTH CENTRAL SEMIARID PRAIRIES, Southwestern Tablelands
 9.4.4,Great Plains, SOUTH CENTRAL SEMIARID PRAIRIES, Flint Hills
 9.4.5,Great Plains, SOUTH CENTRAL SEMIARID PRAIRIES, Cross Timbers
 9.4.6,Great Plains, SOUTH CENTRAL SEMIARID PRAIRIES, Edwards Plateau
 9.4.7,Great Plains, SOUTH CENTRAL SEMIARID PRAIRIES, Texas Blackland Prairies
 9.5.1,Great Plains, TEXAS-LOUISIANA COASTAL PLAIN, Western Gulf Coastal Plain
 9.6.1,Great Plains, TAMAULIPAS-TEXAS SEMIARID PLAIN, Southern Texas Plains/Interior Plains and Hills with Xerophytic Shrub and Oak Forest
 10.1.1,North American Deserts, COLD DESERTS, Thompson-Okanogan Plateau
 10.1.2,North American Deserts, COLD DESERTS, Columbia Plateau
 10.1.3,North American Deserts, COLD DESERTS, Northern Basin and Range
 10.1.4,North American Deserts, COLD DESERTS, Wyoming Basin
 10.1.5,North American Deserts, COLD DESERTS, Central Basin and Range
 10.1.6,North American Deserts, COLD DESERTS, Colorado Plateaus
 10.1.7,North American Deserts, COLD DESERTS, Arizona/New Mexico Plateau
 10.1.8,North American Deserts, COLD DESERTS, Snake River Plain
 10.2.1,North American Deserts, WARM DESERTS, Mojave Basin and Range
 10.2.2,North American Deserts, WARM DESERTS, Sonoran Desert
 10.2.3,North American Deserts, WARM DESERTS, Baja Californian Desert
 10.2.4,North American Deserts, WARM DESERTS, Chihuahuan Desert
 11.1.1,Mediterranean California, MEDITERRANEAN CALIFORNIA," California Coastal Sage, Chaparral, and Oak Woodlands, and Oak Woodlands"
 11.1.2,Mediterranean California, MEDITERRANEAN CALIFORNIA, Central California Valley
 11.1.3,Mediterranean California, MEDITERRANEAN CALIFORNIA, Southern and Baja California Pine-Oak Mountains
 12.1.1,Southern Semi-Arid Highlands, WESTERN SIERRA MADRE PIEDMONT, Madrean Archipelago
 12.1.2,Southern Semi-Arid Highlands, WESTERN SIERRA MADRE PIEDMONT," Piedmonts and Plains with Grasslands, Xeric Shrub, and Oak and Conifer Forests"
 12.2.1,Southern Semi-Arid Highlands, WESTERN SIERRA MADRE PIEDMONT, Hills and Interior Plains with Xeric Shrub and Mesquite Low Forest
 13.1.1,Temperate Sierras, UPPER GILA MOUNTAINS, Arizona/New Mexico Mountains
 13.2.1,Temperate Sierras, WESTERN SIERRA MADRE," Sierra Madre Occidental with Conifer, Oak, and Mixed Forests"
 13.3.1,Temperate Sierras, EASTERN SIERRA MADRE," Sierra Madre Oriental with Conifer, Oak, and Mixed Forests"
 13.4.1,Temperate Sierras, TRANSVERSAL NEO-VOLCANIC SYSTEM, Interior Plains and Piedmonts with Grasslands and Xeric Shrub
 13.4.2,Temperate Sierras, TRANSVERSAL NEO-VOLCANIC SYSTEM," Hills and Sierras with Conifer, Oak, and Mixed Forests"
 13.5.1,Temperate Sierras, SOUTHERN SIERRA MADRE," Sierras of Jalisco and Michoacan with Conifer, Oak, and Mixed Forests"
 13.5.2,Temperate Sierras, SOUTHERN SIERRA MADRE," Sierras of Guerrero and Oaxaca with Conifer, Oak, and Mixed Forests"
 13.6.1,Temperate Sierras, CENTRAL AMERICAN SIERRA MADRE AND CHIAPAS HIGHLANDS," Central American Sierra Madre with Conifer, Oak, and Mixed Forests"
 13.6.2,Temperate Sierras, CENTRAL AMERICAN SIERRA MADRE AND CHIAPAS HIGHLANDS," Chiapas Highlands with Conifer, Oak, and Mixed Forest"
 14.1.1,Tropical Dry Forests, DRY GULF OF MEXICO COASTAL PLAINS AND HILLS, Coastal Plain with Low Tropical Deciduous Forest
 14.1.2,Tropical Dry Forests, DRY GULF OF MEXICO COASTAL PLAINS AND HILLS, Hills and Sierra with Low Tropical Deciduous Forest and Oak Forest
 14.2.1,Tropical Dry Forests, NORTHWESTERN PLAIN OF THE YUCATAN PENINSULA, Northwestern Yucatan Plain with Low Tropical Deciduous Forest
 14.3.1,Tropical Dry Forests," WESTERN PACIFIC COASTAL PLAIN,  HILLS AND CANYONS", Sinaloa Coastal Plain with Low Thorn Tropical Forest and Wetlands
 14.3.2,Tropical Dry Forests," WESTERN PACIFIC COASTAL PLAIN,  HILLS AND CANYONS", Sinaloa and Sonora Hills and Canyons with Xeric Shrub and Low Tropical Deciduous Forest
 14.4.1,Tropical Dry Forests, INTERIOR DEPRESSIONS, Balsas Depression with Low Tropical Deciduous Forest and Xerophytic Shrub
 14.4.2,Tropical Dry Forests, INTERIOR DEPRESSIONS, Chiapas Depression with Low Deciduous and Medium Semi-Deciduous Tropical Forest
 14.4.3,Tropical Dry Forests, INTERIOR DEPRESSIONS, Valleys and Depressions with Xeric Shrub and Low Tropical Deciduous Forest
 14.5.1,Tropical Dry Forests, SOUTHERN PACIFIC COASTAL PLAIN AND HILLS, Tehuantepec Canyon and Plain with Low Tropical Deciduous Forest and Low Thorn Tropical Forest
 14.5.2,Tropical Dry Forests, SOUTHERN PACIFIC COASTAL PLAIN AND HILLS, South Pacific Hills and Piedmonts with Low Tropical Deciduous Forest
 14.6.1,Tropical Dry Forests, SIERRA AND PLAINS OF EL CABO, Los Cabos Plains and Hills with Low Tropical Deciduous Forest and Xeric Shrub
 14.6.2,Tropical Dry Forests, SIERRA AND PLAINS OF EL CABO, La Laguna Mountains with Oak and Conifer Forest
 15.1.1,Tropical Humid Forests, HUMID GULF OF MEXICO COASTAL PLAINS AND HILLS, Gulf of Mexico Coastal Plain with Wetlands and High Tropical Rain Forest
 15.1.2,Tropical Humid Forests, HUMID GULF OF MEXICO COASTAL PLAINS AND HILLS, Hills with Medium and High Evergreen Tropical Forest
 15.2.1,Tropical Humid Forests, PLAIN AND HILLS OF THE YUCATAN PENINSULA, Plain with Low and Medium Deciduous Tropical Forest
 15.2.2,Tropical Humid Forests, PLAIN AND HILLS OF THE YUCATAN PENINSULA, Plain with Medium and High Semi-Evergreen Tropical Forest
 15.2.3,Tropical Humid Forests, PLAIN AND HILLS OF THE YUCATAN PENINSULA, Hills with High and Medium Semi-Evergreen Tropical Forest
 15.3.1,Tropical Humid Forests, SIERRA LOS TUXTLAS, Los Tuxtlas Sierra with High Evergreen Tropical Forest
 15.4.1,Tropical Humid Forests, EVERGLADES, Southern Florida Coastal Plain
 15.5.1,Tropical Humid Forests, WESTERN PACIFIC PLAIN AND HILLS, Nayarit and Sinaloa Plain with Low Thorn Tropical Forest
 15.5.2,Tropical Humid Forests, WESTERN PACIFIC PLAIN AND HILLS, Jalisco and Nayarit Hills and Plains with Medium Semi-Evergreen Tropical Forest
 15.6.1,Tropical Humid Forests, COASTAL PLAIN AND HILLS OF SOCONUSCO, Coastal Plain and Hills with High and Medium-High Evergreen Tropical Forest and Wetlands
